Date,Open,High,Low,Close,Adj Close,Volume
2022-10-10,0.140548,0.140694,0.139792,0.140548,0.140548,0
2022-10-11,0.139790,0.139833,0.139012,0.139790,0.139790,0
2022-10-12,0.139579,0.139843,0.139092,0.139579,0.139579,0
2022-10-13,0.139390,0.139540,0.138508,0.139390,0.139390,0
2022-10-14,0.139480,0.139634,0.138902,0.139480,0.139480,0
2022-10-17,0.139082,0.139142,0.138796,0.139082,0.139082,0
2022-10-18,0.138976,0.139225,0.138868,0.138976,0.138976,0
2022-10-19,0.138877,0.138943,0.138332,0.138877,0.138877,0
2022-10-20,0.138364,0.138646,0.138078,0.138364,0.138364,0
2022-10-21,0.138585,0.138592,0.137933,0.138585,0.138585,0
2022-10-24,0.138068,0.138083,0.137697,0.138068,0.138068,0
2022-10-25,0.137705,0.137923,0.136833,0.137705,0.137705,0
2022-10-26,0.136915,0.139550,0.136915,0.136915,0.136915,0
2022-10-27,0.139433,0.139474,0.138202,0.139433,0.139433,0
2022-10-28,0.138353,0.138529,0.137728,0.138353,0.138353,0
2022-10-31,0.137904,0.137902,0.136945,0.137904,0.137904,0
2022-11-01,0.136953,0.137855,0.136496,0.136953,0.136953,0
2022-11-02,0.137427,0.137629,0.137199,0.137427,0.137427,0
2022-11-03,0.137199,0.137201,0.136606,0.137199,0.137199,0
2022-11-04,0.136971,0.139305,0.136851,0.136971,0.136971,0
2022-11-07,0.139371,0.139371,0.137942,0.139371,0.139371,0
2022-11-08,0.138336,0.138502,0.137696,0.138336,0.138336,0
2022-11-09,0.137965,0.138259,0.137836,0.137965,0.137965,0
2022-11-10,0.138106,0.139187,0.137523,0.138106,0.138106,0
2022-11-11,0.139161,0.141052,0.139125,0.139161,0.139161,0
2022-11-14,0.140704,0.142349,0.140700,0.140704,0.140704,0
2022-11-15,0.141385,0.142349,0.141381,0.141385,0.141385,0
2022-11-16,0.141985,0.141987,0.141086,0.141985,0.141985,0
2022-11-17,0.141099,0.141101,0.139604,0.141099,0.141099,0
2022-11-18,0.139739,0.140698,0.139737,0.139739,0.139739,0
2022-11-21,0.140471,0.140477,0.139509,0.140471,0.140471,0
2022-11-22,0.139583,0.140227,0.139581,0.139583,0.139583,0
2022-11-23,0.140070,0.140076,0.139445,0.140070,0.140070,0
2022-11-24,0.139552,0.140345,0.139552,0.139552,0.139552,0
2022-11-25,0.139854,0.139911,0.139320,0.139854,0.139854,0
2022-11-28,0.139460,0.139579,0.138196,0.139460,0.139460,0
2022-11-29,0.138752,0.139757,0.138746,0.138752,0.138752,0
2022-11-30,0.139677,0.141449,0.139677,0.139677,0.139677,0
2022-12-01,0.141319,0.141987,0.140805,0.141319,0.141319,0
2022-12-02,0.141971,0.142452,0.141551,0.141971,0.141971,0
2022-12-05,0.142371,0.144105,0.142371,0.142371,0.142371,0
2022-12-06,0.143660,0.143753,0.142880,0.143660,0.143660,0
2022-12-07,0.142961,0.143503,0.142959,0.142961,0.142961,0
2022-12-08,0.143419,0.143637,0.143246,0.143419,0.143419,0
2022-12-09,0.143548,0.144109,0.143546,0.143548,0.143548,0
2022-12-12,0.143748,0.143734,0.143125,0.143748,0.143748,0
2022-12-13,0.143338,0.144022,0.143154,0.143338,0.143338,0
2022-12-14,0.144022,0.144128,0.143627,0.144022,0.144022,0
2022-12-15,0.143887,0.143951,0.143330,0.143887,0.143887,0
2022-12-16,0.143427,0.143647,0.143236,0.143427,0.143427,0
